"gene","logFC","logCPM","F","PValue","FDR"
"PELI1",1.93709852341254,7.31425226159822,10.7561577568218,0.00786446703055206,0.24208628770799
"VOPP1",1.61572195265576,7.0896751285085,10.6859520729287,0.00801187899239353,0.245717259391716
"RAC1",-1.48991767831738,8.52257886314565,10.5971448537373,0.00819685512270486,0.250469470452762
"S100A4",-1.24685494482684,11.6943443802808,10.568991011171,0.00825820781248473,0.251423246612218
"WDFY1",2.27055094764684,6.02110762375623,10.5648910677308,0.00829480238295763,0.2516190599223
"MYCBP2",-3.43108501774147,5.8027344882005,10.5066105997271,0.00840486897121123,0.254034119412478
"ATP5MC2",-1.39621836816837,9.04611794010912,10.4374960348364,0.00855337346660676,0.257589319344526
"PDE4D",1.90024972995766,6.17257870708221,10.3976355839933,0.00868008278805454,0.260464930280399
"EFHD2",1.26645553572956,8.75845870443463,10.3649792557508,0.00872180516150971,0.2607788482341
"RAP2B",-1.69519144701379,7.43192137772236,10.3355226273735,0.00879155504482978,0.261636737575765
"OSM",-5.96799531286875,5.30121946408576,10.3226514878734,0.00884387957078631,0.261636737575765
"ARF6",-1.63278941444425,7.58953026278081,10.3120898682219,0.00884712336388023,0.261636737575765
"SNRNP35",2.70296731571925,5.21063122413141,10.0979014508277,0.00890753780431838,0.261636737575765
"MARCH1",-5.74929766686682,5.14543392393182,10.2818464977206,0.00894868318113829,0.261636737575765
