"gene","HC1","HC2","NSES"
"HAMP",4.04312272295644,4.10973135280164,3.48082754210608
"CD22",4.04312272295644,4.88091111817509,4.04905405047373
"FFAR2",3.48082754210608,4.54624760585208,5.2520788307383
"TMEM147",5.02009356627595,5.38075636542466,5.2520788307383
"HAUS5",4.04312272295644,4.10973135280164,3.48082754210608
"RBM42",4.76169449409717,4.88091111817509,5.2520788307383
"COX6B1",8.08692672267992,8.87243091653075,8.66022250320241
"KMT2B",5.02009356627595,4.10973135280164,4.77248964499869
"IGFLR1",4.44669159404492,3.48082754210608,4.45565018125735
"U2AF1L4",5.23916589294564,5.57787780722941,4.77248964499869
"PSENEN",4.76169449409717,4.10973135280164,4.77248964499869
"PROSER3",4.04312272295644,3.48082754210608,4.45565018125735
"NFKBID",6.0084396527514,5.57787780722941,4.45565018125735
"HCST",8.66151729539252,8.41180310332067,8.07594860602465
"TYROBP",9.91235611517715,10.5207018701862,10.3433439946843
"SDHAF1",4.04312272295644,3.48082754210608,4.04905405047373
"POLR2I",6.0084396527514,6.17323145804348,6.13839840344629
"TBCB",5.23916589294564,6.39857908435901,6.34379405572357
"CAPNS1",6.58949650157832,7.35461507607964,6.95807684073785
"ZNF146",4.76169449409717,4.10973135280164,4.04905405047373
"ZFP14",4.04312272295644,3.48082754210608,4.04905405047373
"ZNF567",4.76169449409717,4.88091111817509,5.0321216312624
"ZNF790",4.04312272295644,3.48082754210608,4.04905405047373
"ZNF829",4.04312272295644,4.10973135280164,4.04905405047373
"ZNF585A",3.48082754210608,4.10973135280164,4.04905405047373
"ZNF570",4.04312272295644,4.54624760585208,3.48082754210608
"ZNF571",4.04312272295644,4.10973135280164,3.48082754210608
"ZNF573",3.48082754210608,4.10973135280164,4.04905405047373
"SPINT2",5.88397211596874,4.88091111817509,5.2520788307383
"C19orf33",3.48082754210608,4.10973135280164,4.04905405047373
"YIF1B",4.04312272295644,5.15237377129022,4.45565018125735
"KCNK6",5.23916589294564,4.54624760585208,4.04905405047373
"CATSPERG",4.04312272295644,4.54624760585208,3.48082754210608
"PSMD8",6.22915951780443,7.18354829977047,7.13443732297078
"FAM98C",4.04312272295644,4.54624760585208,5.0321216312624
"RASGRP4",4.44669159404492,4.10973135280164,5.0321216312624
"MAP4K1",4.04312272295644,3.48082754210608,4.04905405047373
"EIF3K",8.87276770794654,9.1912378018352,8.26472877260971
"ACTN4",5.59729726055919,5.38075636542466,5.2520788307383
"ECH1",4.04312272295644,5.90604956903415,4.77248964499869
"HNRNPL",6.42054890480812,6.04581683429422,6.13839840344629
"SIRT2",5.59729726055919,5.38075636542466,5.0321216312624
"NFKBIB",4.76169449409717,4.88091111817509,4.77248964499869
"MRPS12",4.44669159404492,4.88091111817509,5.44289479092054
"GMFG",8.32097635872544,9.25023374121278,10.2249072384866
"AC011445.2",3.48082754210608,4.10973135280164,4.77248964499869
"SAMD4B",5.42931587612097,6.49929514702503,5.76225821868372
"MED29",3.48082754210608,4.88091111817509,4.45565018125735
"ZFP36",8.73542486138149,9.03224277534199,8.07594860602465
"PLEKHG2",4.04312272295644,4.54624760585208,3.48082754210608
"RPS16",11.5718471330979,11.1000018362279,10.8397206815108
"SUPT5H",6.50749437901301,5.38075636542466,6.89415022931637
"TIMM50",4.76169449409717,4.54624760585208,4.77248964499869
"EID2",5.59729726055919,4.54624760585208,4.04905405047373
"FBL",5.59729726055919,6.68180946011435,5.89882800467142
"PSMC4",5.23916589294564,4.10973135280164,5.0321216312624
"ZNF780B",4.44669159404492,4.10973135280164,4.04905405047373
"ZNF780A",4.04312272295644,3.48082754210608,4.45565018125735
"AKT2",5.74774357290188,4.54624760585208,4.77248964499869
"C19orf47",4.04312272295644,3.48082754210608,4.04905405047373
"PLD3",5.23916589294564,5.57787780722941,4.04905405047373
"SERTAD1",5.74774357290188,6.49929514702503,5.89882800467142
"SERTAD3",6.0084396527514,4.88091111817509,5.2520788307383
"BLVRB",4.76169449409717,5.38075636542466,4.04905405047373
"SHKBP1",6.12301650389485,6.04581683429422,6.89415022931637
"LTBP4",3.48082754210608,4.10973135280164,4.04905405047373
"COQ8B",4.04312272295644,4.54624760585208,4.04905405047373
"C19orf54",4.04312272295644,4.54624760585208,3.48082754210608
"SNRPA",4.76169449409717,6.29030069184318,5.0321216312624
"HNRNPUL1",7.17184934789177,6.7650800441311,6.52355884335602
"TGFB1",7.66337634622253,7.35461507607964,8.04684440909023
"CCDC97",4.04312272295644,4.10973135280164,3.48082754210608
"TMEM91",4.76169449409717,5.75127484793027,4.77248964499869
"B9D2",5.23916589294564,4.88091111817509,5.61139554019353
"B3GNT8",3.48082754210608,4.10973135280164,5.0321216312624
"DMAC2",4.76169449409717,4.54624760585208,4.45565018125735
"AC243960.1",4.04312272295644,5.15237377129022,4.45565018125735
"CEACAM4",4.04312272295644,4.10973135280164,5.44289479092054
"RPS19",11.5073841281461,11.5390646390879,11.4882113509106
"CD79A",5.59729726055919,7.29981607294753,3.48082754210608
"ARHGEF1",5.88397211596874,6.29030069184318,5.61139554019353
"RABAC1",6.42054890480812,7.50753093925681,7.71807704304384
"POU2F2",6.74071719423792,5.38075636542466,3.48082754210608
"DEDD2",6.0084396527514,6.17323145804348,6.82725912892822
"GSK3A",4.76169449409717,4.88091111817509,4.77248964499869
"ERF",5.42931587612097,5.15237377129022,4.45565018125735
"CIC",4.76169449409717,4.54624760585208,4.45565018125735
"PAFAH1B3",4.44669159404492,4.88091111817509,4.77248964499869
"LIPE-AS1",4.76169449409717,4.88091111817509,3.48082754210608
"LYPD3",4.04312272295644,5.15237377129022,3.48082754210608
"PHLDB3",4.44669159404492,4.10973135280164,3.48082754210608
"ETHE1",4.76169449409717,5.90604956903415,4.77248964499869
"XRCC1",3.48082754210608,4.10973135280164,4.45565018125735
"IRGQ",3.48082754210608,4.10973135280164,5.2520788307383
"ZNF428",5.59729726055919,5.38075636542466,5.2520788307383
"PLAUR",7.87437367508383,8.85352993432539,7.68067198790439
