"gene","logFC","logCPM","F","PValue","FDR"
"UBXN7",0.930833868020148,6.42867769922033,1.78036189028657,0.182142224647368,0.72008692969241
"FOXK1",1.27774931324762,5.47069049625424,1.77984905965103,0.182205182962739,0.72008692969241
"NUP214",-0.888220602065709,6.39333840337024,1.77837925005345,0.182385789033016,0.72046616470588
"SELENOK",-0.748524823798929,7.90181320594946,1.77784243189034,0.182451803734592,0.72046616470588
"NKTR",-0.806005540629178,6.986675043718,1.77652503500309,0.182613921484757,0.720808726818082
"OSBPL11",-1.17700160366819,5.5123683906268,1.77483595961441,0.182822008773385,0.721332381150437
"NET1",-1.63654227298174,4.89292462668974,1.7735597156596,0.18297942592453,0.721591011076826
"NSD3",-0.835149392840638,6.76330767548926,1.77308161027534,0.183038455967417,0.721591011076826
"RPL13A",-0.672422401165723,11.0209889462256,1.77125665539611,0.183263916310499,0.721901039745707
"DUSP1",-0.69396956721282,9.53668308784763,1.77122314064799,0.183268059860161,0.721901039745707
"CACYBP",-0.916312301700794,6.22093992865814,1.76777306527446,0.183695180479505,0.722833847069173
"HLA-F",-0.857247718420377,6.61498072900809,1.76710698976463,0.183777776164864,0.722833847069173
"NDUFA12",-0.86054378739965,6.62728020377672,1.76698613576254,0.183792766776643,0.722833847069173
"RBM38",-0.785378076887828,7.24134709819422,1.76686991660246,0.183807184867443,0.722833847069173
"ATM",-0.843352577666418,6.76148452288125,1.76384440055437,0.184182962796986,0.723402893611595
"MT-ATP8",0.971196727958852,6.25071548471008,1.76368272743957,0.184203068257497,0.723402893611595
"SLC9A6",1.88539680991238,4.88640143911984,1.76336668766009,0.18424235477733,0.723402893611595
"MYCBP2",-0.945602992697147,6.19009599948177,1.76286983416063,0.184304193994251,0.723402893611595
"RPL3",-0.669465485078524,11.1378312383384,1.76211284574751,0.184398428908304,0.723402893611595
"SMCO4",1.88643591014672,4.86956988795109,1.76193364815188,0.184420720482068,0.723402893611595
"AK3",1.38943589209687,5.30494254589328,1.76144698880911,0.184481352730937,0.723402893611595
"STK16",1.39022470019037,5.30728914499451,1.75986143352865,0.18467901068693,0.723553299171801
"LAIR1",1.18433574470214,5.64285139362107,1.75918740042042,0.184763116804464,0.723553299171801
