"dataset","sample_id","group","S100A8","independent_score","antigen_score","monocyte_core_score","combined_score"
"GSE65682","GSM1691885","Sepsis",13.10158872,1.21444915207308,1.12529670265814,1.18371141768595,0.0891524494149443
"GSE65682","GSM1691886","Sepsis",13.01457896,1.1959255921783,1.20627586897371,1.12987519145036,-0.0103502767954089
"GSE65682","GSM1691887","Sepsis",12.51996451,1.20789091539408,1.10549454278072,1.13539371476663,0.102396372613355
"GSE65682","GSM1691888","Sepsis",12.84766837,1.22131610467155,1.08668375495685,1.08222017503678,0.134632349714694
"GSE65682","GSM1691889","Sepsis",13.04587243,1.19348587296739,1.16634449051832,1.1544585732206,0.0271413824490732
"GSE65682","GSM1691890","Sepsis",13.0076138,1.15262083530089,1.21070011713537,1.10132054237644,-0.0580792818344853
"GSE65682","GSM1691891","Sepsis",12.61186318,1.20873744177352,1.13050997884433,1.11601775927218,0.0782274629291901
"GSE65682","GSM1691892","Sepsis",12.83337852,1.18478364451838,1.13751724010317,1.09371129923052,0.0472664044152076
"GSE65682","GSM1691893","Sepsis",11.63708217,1.08903873441405,1.15275648394596,1.06887147229552,-0.063717749531905
"GSE65682","GSM1691894","Sepsis",12.30637116,1.19881569325415,1.24758305496328,1.1330997985668,-0.0487673617091253
"GSE65682","GSM1691895","Sepsis",12.89172881,1.23352100551463,1.16140278728783,1.16340022949827,0.0721182182267943
"GSE65682","GSM1691896","Sepsis",12.94246208,1.24323471439826,1.16587276549845,1.15433914293955,0.0773619488998074
"GSE65682","GSM1691897","Sepsis",12.91121168,1.20244255004162,1.05711381820004,1.18861036814718,0.145328731841581
"GSE65682","GSM1691898","Sepsis",13.08364226,1.26137885494902,1.06348658958792,1.08718565518589,0.197892265361097
"GSE65682","GSM1691899","Sepsis",12.38080238,1.0578653679521,1.29426044983674,1.11461043151013,-0.236395081884635
"GSE65682","GSM1691900","Sepsis",12.97674502,1.2000289064187,1.18352234125101,1.12205783337068,0.0165065651676832
"GSE65682","GSM1691901","Sepsis",12.94631496,1.25821146102386,1.1379358852966,1.03341652272676,0.120275575727253
"GSE65682","GSM1691902","Sepsis",12.68914735,1.06572645856019,1.25263607903274,1.09035343417609,-0.186909620472548
"GSE65682","GSM1691903","Sepsis",12.75353705,1.15522564201868,1.13698458832753,1.08104041395919,0.0182410536911575
