"fold","strategy","algorithm","ROC_AUC","PR_AUC","sensitivity","specificity","balanced_accuracy","PPV","NPV","F1","MCC","Brier","calibration_slope"
"Fold5.Rep10","weighted","XGBoost",0.999177631578947,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00645553707658348,2.517176382536
"Fold1.Rep11","weighted","LASSO",0.999177631578947,0.999956859206933,0.993421052631579,0.875,0.934210526315789,0.993421052631579,0.875,0.993421052631579,0.868421052631579,0.00552734215840279,2.19473496813558
"Fold1.Rep11","weighted","glmBoost",1,1,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.0175965337189752,161.170682803692
"Fold1.Rep11","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.002964269,28.8648613305496
"Fold1.Rep11","weighted","XGBoost",0.998355263157895,0.999913433654095,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00932035484909483,2.20049686384473
"Fold2.Rep11","weighted","LASSO",1,1,0.980263157894737,1,0.990131578947368,1,0.75,0.990033222591362,0.857436509848428,0.0109202498375785,26.5592947502312
"Fold2.Rep11","weighted","glmBoost",1,1,0.947368421052632,1,0.973684210526316,1,0.529411764705882,0.972972972972973,0.70820052782817,0.0756036790317568,44.495820578157
"Fold2.Rep11","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00298173273291925,9.37216543508174
"Fold2.Rep11","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00445030148867876,14.1255751578779
"Fold3.Rep11","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.00379608440825431,33.5306681118781
"Fold3.Rep11","weighted","glmBoost",1,1,0.953947368421053,1,0.976973684210526,1,0.5625,0.976430976430976,0.732526719469564,0.0723164211010224,92.8745990893993
"Fold3.Rep11","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.0029256397515528,29.1748406730383
"Fold3.Rep11","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00132932414758779,13.6711044220386
"Fold4.Rep11","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.000960495065616144,11.1859000785259
"Fold4.Rep11","weighted","glmBoost",1,1,1,1,1,1,1,1,1,0.0128947449266464,42.2100294450674
"Fold4.Rep11","weighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00251834709027778,21.0224661737311
"Fold4.Rep11","weighted","XGBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00195142711143792,13.9332475369456
"Fold5.Rep11","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.00156542364131156,14.1920906817321
"Fold5.Rep11","weighted","glmBoost",0.999177631578947,0.999956859206933,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.0631194567079638,6.41339404232152
"Fold5.Rep11","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00298545,18.4813668512641
"Fold5.Rep11","weighted","XGBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00752237198484298,47.4198450263904
"Fold1.Rep12","weighted","LASSO",0.999177631578947,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00670897122964741,1.16474193371461
"Fold1.Rep12","weighted","glmBoost",1,1,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.0237218368848577,106.379064129387
"Fold1.Rep12","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00332165,24.4646251887494
"Fold1.Rep12","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00341301953234208,15.8672917430189
"Fold2.Rep12","weighted","LASSO",0.999269005847953,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.0110495560979153,6.83798858023965
"Fold2.Rep12","weighted","glmBoost",1,1,0.967105263157895,1,0.983552631578947,1,0.642857142857143,0.983277591973244,0.78848622455677,0.0700446029036414,214.217692274228
"Fold2.Rep12","weighted","Ranger",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00518034782608696,289.915533990329
"Fold2.Rep12","weighted","XGBoost",0.995248538011696,0.999719119875604,1,0.777777777777778,0.888888888888889,0.987012987012987,1,0.993464052287582,0.876171654230361,0.0139900463070058,1.56058901582212
"Fold3.Rep12","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00736135369443724,17.7696285450286
"Fold3.Rep12","weighted","glmBoost",1,1,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.0295013870615799,25.1855495031052
"Fold3.Rep12","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.001080775,8.76906637624963
"Fold3.Rep12","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00255037870789134,11.2488473810804
"Fold4.Rep12","weighted","LASSO",0.996710526315789,0.99983076604394,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.0604237310433356,4.586689920983
"Fold4.Rep12","weighted","glmBoost",1,1,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.0347580416407876,58.6480599102172
"Fold4.Rep12","weighted","Ranger",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.002144875,18.2440369191782
"Fold4.Rep12","weighted","XGBoost",1,1,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.0081411158861974,77.8221899586703
