"fold","strategy","algorithm","gene","importance","rank","selected"
"Fold2.Rep01","unweighted","glmBoost","CD160",0.0661761145960712,2,TRUE
"Fold2.Rep01","unweighted","glmBoost","NMT2",0.0654745374371947,3,TRUE
"Fold2.Rep01","unweighted","glmBoost","GATA2",0.0526250376321264,4,TRUE
"Fold2.Rep01","unweighted","glmBoost","TBC1D4",0.0463195508333878,5,TRUE
"Fold2.Rep01","unweighted","glmBoost","EPHX2",0.0371714737289586,6,TRUE
"Fold2.Rep01","unweighted","glmBoost","PTCH1",0.00896120690104135,7,TRUE
"Fold2.Rep01","unweighted","glmBoost","IKZF2",0.00817129804224219,8,TRUE
"Fold2.Rep01","unweighted","glmBoost","CSRP2BP",0.0077169022903849,9,TRUE
"Fold2.Rep01","unweighted","Ranger","S100A8",0.0070392472135402,1,TRUE
"Fold2.Rep01","unweighted","Ranger","S100A12",0.00641806870139792,2,TRUE
"Fold2.Rep01","unweighted","Ranger","C19orf59",0.005369230137091,3,TRUE
"Fold2.Rep01","unweighted","Ranger","C5orf32",0.00388056846219482,4,TRUE
"Fold2.Rep01","unweighted","Ranger","CKAP4",0.0033559823685444,5,TRUE
"Fold2.Rep01","unweighted","Ranger","GADD45A",0.00285744706296666,6,TRUE
"Fold2.Rep01","unweighted","Ranger","UPP1",0.00220456914513102,7,TRUE
"Fold2.Rep01","unweighted","Ranger","ANXA3",0.00211998011090292,8,TRUE
"Fold2.Rep01","unweighted","Ranger","TRA@",0.00173451336523046,9,TRUE
"Fold2.Rep01","unweighted","Ranger","CLEC4D",0.00169555941776462,10,TRUE
"Fold2.Rep01","unweighted","Ranger","P2RY10",0.00167524469413489,11,TRUE
"Fold2.Rep01","unweighted","Ranger","GATA3",0.00162875465668165,12,TRUE
"Fold2.Rep01","unweighted","Ranger","FAM102A",0.00157844434085624,13,TRUE
"Fold2.Rep01","unweighted","Ranger","METTL9",0.00138252308653678,14,TRUE
"Fold2.Rep01","unweighted","Ranger","HP",0.00130824924130418,15,TRUE
"Fold2.Rep01","unweighted","Ranger","MAN1C1",0.00122428737136341,16,TRUE
"Fold2.Rep01","unweighted","Ranger","FAM43A",0.00112812067923979,17,TRUE
"Fold2.Rep01","unweighted","Ranger","ARG1",0.00112278747959297,18,TRUE
"Fold2.Rep01","unweighted","Ranger","TMEM109",0.00110931352664087,19,TRUE
"Fold2.Rep01","unweighted","Ranger","WBP11",0.00107505671326634,20,TRUE
"Fold2.Rep01","unweighted","Ranger","PAFAH2",0.00101982313027682,21,FALSE
"Fold2.Rep01","unweighted","Ranger","NMT2",0.00100894311331996,22,FALSE
"Fold2.Rep01","unweighted","Ranger","GATA2",0.000928487676224436,23,FALSE
"Fold2.Rep01","unweighted","Ranger","KIAA0748",0.000851206990082438,24,FALSE
"Fold2.Rep01","unweighted","Ranger","RASGRP1",0.000813618829201348,25,FALSE
"Fold2.Rep01","unweighted","Ranger","SRPK1",0.000809623261181036,26,FALSE
"Fold2.Rep01","unweighted","Ranger","RNF125",0.000711994407447611,27,FALSE
"Fold2.Rep01","unweighted","Ranger","CSRP2BP",0.000653278673212272,28,FALSE
"Fold2.Rep01","unweighted","Ranger","NPAT",0.000644257565868017,29,FALSE
"Fold2.Rep01","unweighted","Ranger","TXN",0.00063288518299824,30,FALSE
"Fold2.Rep01","unweighted","Ranger","RFTN1",0.000628732948827057,31,FALSE
"Fold2.Rep01","unweighted","Ranger","CD96",0.000606682188507958,32,FALSE
"Fold2.Rep01","unweighted","Ranger","SSBP2",0.000602747139435834,33,FALSE
"Fold2.Rep01","unweighted","Ranger","FLT3LG",0.000600415213380465,34,FALSE
"Fold2.Rep01","unweighted","Ranger","PRKCQ",0.000595081942404123,35,FALSE
