"dataset","specificity","sensitivity","AUC"
"GSE69528",0.963636363636364,0.192771084337349,0.855312157721796
"GSE69528",0.981818181818182,0.180722891566265,0.855312157721796
"GSE69528",1,0.168674698795181,0.855312157721796
"GSE69528",1,0.156626506024096,0.855312157721796
"GSE69528",1,0.144578313253012,0.855312157721796
"GSE69528",1,0.132530120481928,0.855312157721796
"GSE69528",1,0.120481927710843,0.855312157721796
"GSE69528",1,0.072289156626506,0.855312157721796
"GSE69528",1,0.036144578313253,0.855312157721796
"GSE69528",1,0.0240963855421687,0.855312157721796
"GSE69528",1,0.0120481927710843,0.855312157721796
"GSE69528",1,0,0.855312157721796
