"algorithm","rank","regime"
"glmBoost",3,"Repeated 1:1 downsampling"
"Ranger",1,"Repeated 1:1 downsampling"
"XGBoost",2,"Repeated 1:1 downsampling"
"LASSO",6,"Repeated 1:1 downsampling"
"glmBoost",5,"Repeated 1:1 downsampling"
"Ranger",8,"Repeated 1:1 downsampling"
"XGBoost",4,"Repeated 1:1 downsampling"
"Ranger",63,"Repeated 1:1 downsampling"
"LASSO",9,"Repeated 1:1 downsampling"
"glmBoost",11,"Repeated 1:1 downsampling"
"Ranger",38,"Repeated 1:1 downsampling"
"LASSO",17,"Repeated 1:1 downsampling"
"Ranger",28,"Repeated 1:1 downsampling"
"LASSO",3,"Repeated 1:1 downsampling"
"glmBoost",1,"Repeated 1:1 downsampling"
"Ranger",2,"Repeated 1:1 downsampling"
"XGBoost",3,"Repeated 1:1 downsampling"
"LASSO",11,"Repeated 1:1 downsampling"
"glmBoost",13,"Repeated 1:1 downsampling"
"Ranger",78,"Repeated 1:1 downsampling"
"Ranger",59,"Repeated 1:1 downsampling"
"Ranger",24,"Repeated 1:1 downsampling"
"LASSO",3,"Repeated 1:1 downsampling"
"glmBoost",3,"Repeated 1:1 downsampling"
"Ranger",3,"Repeated 1:1 downsampling"
"XGBoost",2,"Repeated 1:1 downsampling"
"Ranger",4,"Repeated 1:1 downsampling"
"Ranger",3,"Repeated 1:1 downsampling"
"Ranger",78,"Repeated 1:1 downsampling"
"LASSO",6,"Repeated 1:1 downsampling"
