"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation"
"ADCK4",3.3646760618616,0.436757889468047,0.0760048313031794,5.74644903461258,1.29321589209467e-08,3.36109936559269e-08,"Not significant"
"ADCK5",2.50829667471571,-0.0415136412030734,0.0428732732843823,-0.96828718739784,0.333192116821362,0.370392564696408,"Not significant"
"ADCY2",3.03199160021945,0.11831514362237,0.0463226132390921,2.5541552030256,0.0108278731126039,0.0151911702390284,"Not significant"
"ADCY3",3.99464876866833,0.604675740004005,0.158124986315308,3.82403663136611,0.000141441811235431,0.000253255398910316,"Not significant"
"ADCY4",3.33073050697132,0.525578844942419,0.0761786765200974,6.89929083768949,1.05920926199427e-11,3.42140941050465e-11,"Not significant"
"ADCY7",6.75911947960723,-1.03776335253239,0.113092860334078,-9.17620572569143,3.68945538510337e-19,1.89468569930002e-18,"Down"
"ADCY9",2.58498181554738,-0.242448589523119,0.0480074845005629,-5.05022481484687,5.46291607714799e-07,1.24916904406044e-06,"Not significant"
"ADCYAP1R1",2.86105879384539,0.165160197847804,0.0481576339889699,3.42957459009786,0.000635319075005911,0.00105502398186117,"Not significant"
"ADD1",9.36284427575561,-0.214200650327193,0.0576462821605612,-3.71577562852334,0.00021660199718422,0.00037936912344969,"Not significant"
"ADD2",2.9720650826409,0.0984134930120906,0.0515955616587009,1.90740230066852,0.0568245541671931,0.0718057958038964,"Not significant"
"ADD3",9.64651462636534,-0.0705547234740482,0.0677282284695559,-1.0417328943686,0.297848647869457,0.334241913662948,"Not significant"
"ADH1A",2.84491440345761,0.125193224741419,0.0554540056162394,2.25760471854456,0.0242377805973655,0.0322885700603077,"Not significant"
"ADH5",5.18720667473192,-0.586861234507267,0.0912140096200379,-6.43389361954268,2.13457823513602e-10,6.30262593538903e-10,"Not significant"
"ADHFE1",3.21216778362095,-0.591171867791669,0.0581779172245705,-10.161447779399,6.64655455214954e-23,4.22402238593495e-22,"Not significant"
"ADI1",7.41846501264589,-0.45405996980018,0.0885625869643659,-5.12699533023889,3.69115635876808e-07,8.55212759359492e-07,"Not significant"
"ADIPOR1",10.3038220063491,0.401194865011911,0.122234508447338,3.28217350491296,0.00107456065931034,0.00173191808093217,"Not significant"
"ADIPOR2",5.82160848198379,-0.0770523826523828,0.0769726110538991,-1.00103636342059,0.317110417012191,0.353756970677379,"Not significant"
"ADK",3.63232011681297,-0.739654229472431,0.0986939692951466,-7.49442174385021,1.75865059671504e-13,6.33362825534836e-13,"Not significant"
"ADM",8.9840660515985,1.53913474743427,0.109097961011148,14.10782321841,1.52565976495872e-40,2.82593345821292e-39,"Up"
"ADM2",2.37471010674564,0.0959404460482483,0.061128781373591,1.56948075673069,0.116929375071216,0.140456677578882,"Not significant"
"ADNP",6.30641690280923,-0.779182016370684,0.0726512135530845,-10.7249690440663,3.56483381267467e-25,2.54423187885107e-24,"Not significant"
"ADNP2",4.24608818119576,-0.57715795011184,0.0802473132722068,-7.1922401707589,1.4601845161182e-12,4.99471755527998e-12,"Not significant"
"ADO",4.73018504175312,-0.935881992042913,0.0842665342706827,-11.1062119754048,9.23378725815182e-27,7.33135182102176e-26,"Not significant"
"ADORA2A ",5.01549447745511,0.512282866769803,0.115791372964364,4.42418855269524,1.10140924257508e-05,2.22810545723069e-05,"Not significant"
"ADORA2B",2.5715348063591,0.344229093511281,0.0694708854835387,4.95501232084982,8.82063102744623e-07,1.97949013808201e-06,"Not significant"
"ADORA3",3.57925335876559,0.714684573065228,0.16284584243639,4.38871857194877,1.29225732857214e-05,2.59358856542849e-05,"Not significant"
"ADPGK",7.60112049169202,-0.210577290800371,0.0613692653593354,-3.43131516350046,0.000631315170574634,0.00104867221601192,"Not significant"
"ADPRH",2.41163518908105,-0.128942377240792,0.0601023241080294,-2.14538088425712,0.0322212897968302,0.042194803344402,"Not significant"
"ADPRHL1",2.92319738762095,0.0871576960529454,0.0499892033164149,1.74353040798163,0.0816232043287279,0.100487691094481,"Not significant"
"ADPRHL2",4.93489550955611,-0.741600131061963,0.0879207277187794,-8.43487253010488,1.53002025581378e-16,6.74832795554447e-16,"Not significant"
"ADRA1A",2.46922160349626,0.122988853386155,0.0455754289577562,2.69857807592231,0.00710970966361343,0.0102344536970748,"Not significant"
"ADRA2B",2.83735771501746,0.290053502277501,0.0537030034442217,5.40106667551216,8.72956744788212e-08,2.12951292509847e-07,"Not significant"
"ADRA2C",2.45884813103117,0.181610925786278,0.0469010658994897,3.87221318542046,0.000116610281858088,0.000210530872453387,"Not significant"
"ADRB2",5.52246893129302,-1.17993235479278,0.10689128966593,-11.0386202512894,1.77701073223775e-26,1.38095416253941e-25,"Down"
"ADRB3",2.27762840797132,0.127017374283522,0.0487565382599874,2.60513520476413,0.00935351444221947,0.0132447844065213,"Not significant"
"ADRBK1",4.19590497446633,0.374853378449634,0.0824629750341485,4.54571737551797,6.31659764622449e-06,1.30969935980369e-05,"Not significant"
"ADRBK2",4.22253950151372,-0.988147434844485,0.113196518197856,-8.72948612356879,1.46393973085075e-17,6.83502378718722e-17,"Not significant"
"ADRM1",7.8460809851596,-0.377389691482706,0.0570164597024227,-6.61896044497252,6.60574897663073e-11,2.01543275858202e-10,"Not significant"
"ADSL",6.52026039270698,-0.622068581247811,0.0931318148962041,-6.67944227159226,4.47559580848752e-11,1.38025019157014e-10,"Not significant"
"ADSS",6.21341496943267,-0.737979141141479,0.110322755972428,-6.68927398193276,4.19984313875565e-11,1.29862695892025e-10,"Not significant"
"AEBP1",2.89128179145636,-0.145787150076314,0.0568084824016566,-2.56629193234817,0.0104592489705131,0.0147089578487512,"Not significant"
"AEBP2",3.69244113942269,-0.61792711382343,0.0791228101479189,-7.8097215286998,1.78802661106598e-14,6.89953370269419e-14,"Not significant"
"AEN",2.86778460062594,-0.205474732074057,0.0866862916863725,-2.37032555063557,0.0180074858927399,0.0244785671241177,"Not significant"
"AES",6.98672724959726,-1.40219643929825,0.101400940475608,-13.8282389958261,3.59029249712668e-39,6.05390471565864e-38,"Down"
"AFAP1",2.98681276688155,-0.199204439274876,0.0916915930665458,-2.17254856865997,0.0301058158891566,0.0395660038583634,"Not significant"
"AFF1",7.61900634809227,0.0383784929518285,0.0905935325521609,0.423633915917026,0.671946139595373,0.703020874021799,"Not significant"
"AFF3",2.54168777531297,-1.46978393566673,0.106985821877895,-13.7381188447963,9.85677600110895e-39,1.60655852513207e-37,"Down"
"AFF4",5.53617402214464,-0.406624422756957,0.13956155450375,-2.91358479204981,0.0036721345976278,0.0054910993172898,"Not significant"
"AFG3L2",2.93485386091022,-0.620381577676504,0.0608967230687523,-10.1874377866949,5.24675562201254e-23,3.35809552891125e-22,"Not significant"
"AFTPH",7.06393852186409,0.210620532327754,0.0608013056375118,3.46407910355481,0.000560199133738816,0.000936782769447087,"Not significant"
"AGA",5.66446130627681,-0.358913232921615,0.118781627118157,-3.02162246493382,0.00259396569869017,0.00397160752847532,"Not significant"
"AGAP2",3.9041716612182,0.397509395178763,0.0686467971823663,5.7906473644028,1.00532835826125e-08,2.63154858844395e-08,"Not significant"
"AGAP3",3.45264967791147,-0.187177238152946,0.0507079935210365,-3.69127676241607,0.000238185185593719,0.000415556377843204,"Not significant"
"AGAP4",3.47937033447007,-1.1379365051728,0.0799063721660903,-14.2408730909161,3.34765424715975e-41,6.44189821386947e-40,"Down"
"AGAP4 ",3.40444764247132,-0.921460887656142,0.0686366673835503,-13.4251985532296,3.17816261594001e-37,4.69670714958398e-36,"Not significant"
"AGAP5",4.1990305169389,-0.703825244460591,0.063585092631954,-11.0690291596256,1.32293323302564e-26,1.0356349070025e-25,"Not significant"
"AGAP6 ",4.46266523814339,-1.56060084729749,0.0971951085214241,-16.0563722911375,1.57919226700888e-50,6.02819354302184e-49,"Down"
"AGBL5",2.76580927044264,0.202543031975443,0.0576667426256836,3.51230228643492,0.000469015858917947,0.000790734692944816,"Not significant"
"AGER",5.50954642190399,0.127512599639726,0.103324252439482,1.23410135209457,0.217525799966941,0.250411085443279,"Not significant"
"AGFG1",7.67340465495761,2.05249321321184,0.133938033780327,15.3241999698021,1.07876542057779e-46,3.1369855989457e-45,"Up"
"AGGF1",4.91201892309227,-0.284828490880081,0.101127397110098,-2.81653141502284,0.00497347395298929,0.00731477676394096,"Not significant"
"AGK",3.3949022907581,-1.06383818594342,0.0679567274342537,-15.6546412122722,2.05390291673588e-48,6.72337661486809e-47,"Down"
"AGL",4.12996877118579,0.301253594036029,0.181887497786878,1.65626333696126,0.0980587480469024,0.119206480120503,"Not significant"
"AGMAT",2.3602859971197,-0.510128334192857,0.0543035713964105,-9.39401076347213,5.81492987217381e-20,3.11508358887644e-19,"Not significant"
"AGPAT1",5.23972530492893,0.166074886121801,0.0742448671552593,2.23685343492512,0.0255693227141067,0.033923569895462,"Not significant"
"AGPAT2",5.89297344035037,0.946137166478756,0.0705170140493245,13.4171473258491,3.47316831518258e-37,5.10690834198552e-36,"Not significant"
"AGPAT3",6.24433249290524,-0.0862065013371502,0.097413887570581,-0.884950836960382,0.376447763116308,0.414779177882664,"Not significant"
"AGPAT4",2.82162115059102,0.0864121612182935,0.0526025324971272,1.64273766140466,0.100828195897313,0.122319423159484,"Not significant"
