"Gene","Step","Coefficient","StepIndex","Lambda","LogLambda"
"STOM","s3",0,3,0.133923727495309,-2.01048483888199
"STOM","s4",0,4,0.122026312653886,-2.10351858001306
"STOM","s5",0,5,0.111185831356325,-2.19655232114413
"STOM","s6",0,6,0.101308388539621,-2.2895860622752
"STOM","s7",0,7,0.09230843051938,-2.38261980340628
"STOM","s8",0,8,0.0841080039647334,-2.47565354453735
"STOM","s9",0,9,0.076636080703879,-2.56868728566842
"STOM","s10",0,10,0.0698279425120354,-2.66172102679949
"STOM","s11",0,11,0.0636246205531402,-2.75475476793057
"STOM","s12",0,12,0.0579723846200014,-2.84778850906164
"STOM","s13",0,13,0.0528222777489477,-2.94082225019271
"STOM","s14",0,14,0.048129692178029,-3.03385599132378
"STOM","s15",0,15,0.043853982975923,-3.12688973245486
"STOM","s16",0,16,0.0399581159949838,-3.21992347358593
"STOM","s17",0,17,0.0364083470991718,-3.312957214717
"STOM","s18",0,18,0.0331739298884908,-3.40599095584808
"STOM","s19",0,19,0.0302268493883793,-3.49902469697915
"STOM","s20",0,20,0.0275415793974034,-3.59205843811022
"STOM","s21",0,21,0.0250948613915117,-3.68509217924129
"STOM","s22",0,22,0.022865503069826,-3.77812592037237
"STOM","s23",0,23,0.0208341947970698,-3.87115966150344
"STOM","s24",0,24,0.0189833423527451,-3.96419340263451
"STOM","s25",0,25,0.0172969145384111,-4.05722714376558
"STOM","s26",0,26,0.0157603043231128,-4.15026088489666
"STOM","s27",0,27,0.0143602023242663,-4.24329462602773
"STOM","s28",0,28,0.0130844815281545,-4.3363283671588
"STOM","s29",0,29,0.0119220922515355,-4.42936210828987
"STOM","s30",0,30,0.0108629664345722,-4.52239584942095
"STOM","s31",0,31,0.00989793043611486,-4.61542959055202
"STOM","s32",0,32,0.0090186255760098,-4.70846333168309
"STOM","s33",0,33,0.00821743573621073,-4.80149707281416
"STOM","s34",0,34,0.00748742139360768,-4.89453081394524
"STOM","s35",0,35,0.00682225951319765,-4.98756455507631
"STOM","s36",0,36,0.00621618878098029,-5.08059829620738
"STOM","s37",0,37,0.00566395970221219,-5.17363203733845
"STOM","s38",0,38,0.00516078913279472,-5.26666577846953
"STOM","s39",0,39,0.0047023188499681,-5.3596995196006
"STOM","s40",0,40,0.00428457780347076,-5.45273326073167
"STOM","s41",0,41,0.00390394772020166,-5.54576700186274
"STOM","s42",0,42,0.00355713176446973,-5.63880074299382
"STOM","s43",0,43,0.00324112598238019,-5.73183448412489
"STOM","s44",0,44,0.00295319328302306,-5.82486822525596
"STOM","s45",0,45,0.00269083973110104,-5.91790196638703
"STOM","s46",0,46,0.00245179294565508,-6.01093570751811
"STOM","s47",0,47,0.0022339824177876,-6.10396944864918
