"Sample","ME","Group"
"GSM1692149",-0.0290131478237378,"Disease"
"GSM1692150",-0.00938300382418106,"Disease"
"GSM1692151",-0.0307350472847965,"Disease"
"GSM1692152",-0.036577582589833,"Disease"
"GSM1692153",0.00212296758417973,"Disease"
"GSM1692154",-0.0058991339054149,"Disease"
"GSM1692155",0.00757644674942441,"Disease"
"GSM1692156",0.0199276221703989,"Disease"
"GSM1692157",0.0112994336758135,"Disease"
"GSM1692158",-0.0153492775348926,"Disease"
"GSM1692159",-0.0274806149203125,"Disease"
"GSM1692160",-0.0397005165011679,"Disease"
"GSM1692161",-0.0424502686504524,"Disease"
"GSM1692162",-0.0206386543987115,"Disease"
"GSM1692163",-0.0422859567331503,"Disease"
"GSM1692164",-0.0252307106509748,"Disease"
"GSM1692165",-0.0296478945294125,"Disease"
"GSM1692166",0.0452173944955591,"Disease"
"GSM1692167",0.00586284036909242,"Disease"
"GSM1692168",-0.0374776601011088,"Disease"
"GSM1692169",-0.00163961227885933,"Disease"
"GSM1692170",-0.00385727132231302,"Disease"
"GSM1692171",-0.00574030733614875,"Disease"
"GSM1692172",-0.0288116214278295,"Disease"
"GSM1692173",0.00204163278331524,"Disease"
"GSM1692174",0.0112191956798689,"Disease"
"GSM1692175",-0.0213448405409763,"Disease"
"GSM1692176",-0.0387154843473688,"Disease"
"GSM1692177",0.000886714035860738,"Disease"
"GSM1692178",0.0535125338719881,"Disease"
"GSM1692179",-0.011028385246287,"Disease"
"GSM1692180",-0.0155829816865414,"Disease"
"GSM1692181",-0.0308311096694921,"Disease"
"GSM1692182",0.0104904044509366,"Disease"
"GSM1692183",-0.0291011617048837,"Disease"
"GSM1692184",0.0524266727767548,"Disease"
"GSM1692185",0.0152168963329466,"Disease"
"GSM1692186",0.10266566312986,"Disease"
"GSM1692187",0.0361755476423206,"Disease"
"GSM1692188",-0.0573642628806742,"Disease"
"GSM1692189",-0.00811575779864687,"Disease"
"GSM1692190",-0.0129098737349415,"Disease"
"GSM1692191",0.0654779503051362,"Disease"
"GSM1692192",0.0571195498804474,"Disease"
"GSM1692193",-0.0197562831658271,"Disease"
"GSM1692194",-0.00720277110820681,"Disease"
"GSM1692195",-0.00451139108287818,"Disease"
"GSM1692196",0.0876256263706316,"Disease"
"GSM1692197",-0.0329652769872115,"Disease"
"GSM1692198",0.0539973230672375,"Disease"
"GSM1692199",0.00789184615548087,"Disease"
"GSM1692200",-0.00494271671127411,"Disease"
"GSM1692201",-0.00759393712696521,"Disease"
"GSM1692202",0.00305041212094484,"Disease"
"GSM1692203",0.0275399833582165,"Disease"
"GSM1692204",0.0121990350915224,"Disease"
"GSM1692205",-0.0473318848359774,"Disease"
"GSM1692206",-0.010730433664345,"Disease"
"GSM1692207",-0.00945910129911753,"Disease"
"GSM1692208",-0.00987498113890734,"Disease"
"GSM1692209",-0.0300585518992589,"Disease"
"GSM1692210",-0.0294757558123603,"Disease"
"GSM1692211",-0.0110748094718176,"Disease"
"GSM1692212",0.0818452427104754,"Disease"
"GSM1692213",-0.0068574365041371,"Disease"
"GSM1692214",-0.0148681618538262,"Disease"
"GSM1692215",-0.0200774985143947,"Disease"
"GSM1692216",-0.0174880887675795,"Disease"
"GSM1692217",0.0843760178000218,"Disease"
"GSM1692218",0.00474047687364693,"Disease"
"GSM1692219",-0.00430159873154913,"Disease"
"GSM1692220",-0.00917101885546785,"Disease"
"GSM1692221",0.000377964196082605,"Disease"
"GSM1692222",-0.00427441794820418,"Disease"
"GSM1692223",0.0113538509450247,"Disease"
"GSM1692224",0.00401186100235279,"Disease"
"GSM1692225",-0.0107397972287165,"Disease"
"GSM1692226",0.0404741913042587,"Disease"
"GSM1692227",-0.00685544806933843,"Disease"
"GSM1692228",0.00504425120866631,"Disease"
"GSM1692229",-0.00247966474353318,"Disease"
