"gene","HC1","HC2","NSES","P50","S2","S3"
"AL353622.1",4.22742789384803,4.69623031625439,4.22742789384803,5.09970920054362,4.22742789384803,4.22742789384803
"SESN2",4.96715343895881,4.69623031625439,7.65437556323126,5.09970920054362,6.12489709155534,5.3331782699928
"MED18",4.22742789384803,4.69623031625439,4.6586722164309,5.63945629658092,5.467922580958,4.22742789384803
"PHACTR4",6.6480660242547,5.56989199982261,6.39220151235508,6.99590584220857,4.9770888836488,5.3331782699928
"RCC1",4.96715343895881,4.22742789384803,4.22742789384803,4.22742789384803,4.9770888836488,4.22742789384803
"TRNAU1AP",5.23087700832804,5.04948116299568,4.99023772891781,5.09970920054362,5.467922580958,5.3331782699928
"SNHG12",4.64419098111034,4.69623031625439,4.6586722164309,5.09970920054362,4.22742789384803,4.22742789384803
"TAF12",4.22742789384803,5.77329786295453,4.99023772891781,5.09970920054362,4.9770888836488,4.22742789384803
"AL360012.1",4.22742789384803,4.22742789384803,5.48660048793175,5.09970920054362,5.467922580958,4.22742789384803
"GMEB1",5.45376148785481,5.77329786295453,5.25966149830981,4.22742789384803,4.9770888836488,5.9517357601784
"YTHDF2",6.55487062077416,5.56989199982261,5.25966149830981,6.03134333562224,6.12489709155534,5.9517357601784
"EPB41",6.73560474279721,6.38306105974853,6.944273314467,5.09970920054362,6.12489709155534,4.22742789384803
"SRSF4",6.89619719930481,5.77329786295453,7.50688457418673,6.59277782143442,6.75594514893013,6.71502521591347
"LAPTM5",9.81913719063013,9.86442775460329,10.6654783693796,9.74627717929507,9.56802810220181,8.81492232135146
"PUM1",6.10691118376025,6.11015747676198,6.86571979433908,6.59277782143442,4.9770888836488,7.21158830531232
"SNRNP40",4.64419098111034,5.04948116299568,4.99023772891781,6.03134333562224,4.9770888836488,4.22742789384803
"ZCCHC17",5.23087700832804,5.56989199982261,4.6586722164309,6.33920071562365,4.9770888836488,4.22742789384803
"SERINC2",4.22742789384803,4.69623031625439,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"PEF1",5.45376148785481,5.77329786295453,4.99023772891781,5.09970920054362,4.9770888836488,5.3331782699928
"AL136115.2",4.64419098111034,4.22742789384803,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"PTP4A2",9.1726931960885,9.08685545301551,8.72571425693743,8.14576059960236,7.80060400232291,7.73445762293791
"KHDRBS1",6.97025208565506,7.63328471970583,6.14854751394828,5.63945629658092,6.36722099727102,5.9517357601784
"AL445248.1",4.96715343895881,4.22742789384803,4.22742789384803,4.22742789384803,4.9770888836488,4.22742789384803
"KPNA6",5.81698738387323,6.11015747676198,6.00932155005559,6.03134333562224,5.467922580958,5.9517357601784
"TXLNA",4.96715343895881,4.22742789384803,5.25966149830981,4.22742789384803,4.9770888836488,4.22742789384803
