system,replicate,metric,block_start_ns,block_end_ns,n,mean,sd,median,q25,q75,min,max,last
complex,3,ligand_protein_contacts_pbc_nojump_0p45nm_count,40.0,60.0,2000,350.4055,92.50790737127883,359.0,289.0,414.25,51.0,631.0,340.0
complex,3,ligand_protein_contacts_pbc_nojump_0p45nm_count,60.0,80.0,2000,396.6825,73.18360891659435,391.5,347.0,447.0,151.0,627.0,514.0
complex,3,ligand_protein_contacts_pbc_nojump_0p45nm_count,80.0,100.0,2001,416.3153423288356,61.114589170633,416.0,376.0,457.0,224.0,630.0,460.0
complex,3,ligand_protein_hbonds_pbc_nojump_count,20.0,40.0,200,0.195,0.40965115690274667,0.0,0.0,0.0,0.0,2.0,1.0
complex,3,ligand_protein_hbonds_pbc_nojump_count,40.0,60.0,200,0.81,0.829057708134413,1.0,0.0,1.0,0.0,3.0,0.0
complex,3,ligand_protein_hbonds_pbc_nojump_count,60.0,80.0,200,0.935,0.8210637786696087,1.0,0.0,1.0,0.0,3.0,1.0
complex,3,ligand_protein_hbonds_pbc_nojump_count,80.0,100.0,201,0.945273631840796,0.7563002378362998,1.0,0.0,1.0,0.0,3.0,1.0
apo,1,whole_backbone_rmsd_nm,20.0,40.0,2000,0.30034648864999997,0.01213206698701812,0.2995035,0.29183775,0.308056375,0.2666579,0.3446456,0.307254
apo,1,whole_backbone_rmsd_nm,40.0,60.0,2000,0.30360529459999996,0.02164759908194133,0.2990894,0.28942894999999996,0.3116984,0.250983,0.3831024,0.3216631
apo,1,whole_backbone_rmsd_nm,60.0,80.0,2000,0.3177483095,0.024035611926618867,0.3228877,0.306709525,0.334226075,0.2403378,0.3672965,0.3228444
apo,1,whole_backbone_rmsd_nm,80.0,100.0,2001,0.3196581892053973,0.012719465485152017,0.3192152,0.3111397,0.3281155,0.2741487,0.3635481,0.3280412
apo,1,chain_B_backbone_rmsd_nm,20.0,40.0,2000,0.25295467405,0.016009568394669903,0.25303719999999996,0.24192522500000002,0.26366572499999996,0.2012691,0.299735,0.255545
apo,1,chain_B_backbone_rmsd_nm,40.0,60.0,2000,0.24432168324999998,0.017428684926640924,0.24440305,0.2336072,0.25588194999999997,0.1699082,0.2936228,0.2365495
apo,1,chain_B_backbone_rmsd_nm,60.0,80.0,2000,0.2514662906,0.014876437776074431,0.25160265000000004,0.241246125,0.26200385,0.2086945,0.2969391,0.2568203
apo,1,chain_B_backbone_rmsd_nm,80.0,100.0,2001,0.2495616792103948,0.01400553259675467,0.249567,0.2402383,0.2589851,0.1990349,0.300119,0.2309011
